title,author,year,publisher,image_url_m,isbn
Sunday Hangman,James McClure,1979,Avon,http://images.amazon.com/images/P/0380435705.01.MZZZZZZZ.jpg,380435705a
Killed in the Ratings,William DeAndrea,1986,Avon Books,http://images.amazon.com/images/P/0380436124.01.MZZZZZZZ.jpg,380436124a
Close Relations,Susan Isaacs,1981,Avon Books,http://images.amazon.com/images/P/0380556812.01.MZZZZZZZ.jpg,380556812a
The World Is Made Of Glass,Morris West,1984,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380680157.01.MZZZZZZZ.jpg,380680157a
The Last April Dancers,Jean Thesman,1989,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0380706148.01.MZZZZZZZ.jpg,380706148a
White Cargo,Stuart Woods,1995,Avon Books,http://images.amazon.com/images/P/0380707837.01.MZZZZZZZ.jpg,380707837a
Passage Home,Alison McLeay,1991,Harper Mass Market Paperbacks,http://images.amazon.com/images/P/0380715325.01.MZZZZZZZ.jpg,380715325a
Slashback: A Lassiter Novel,Paul Levine,1995,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380721627.01.MZZZZZZZ.jpg,380721627a
Mystic River,Dennis Lehane,2002,HarperTorch,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,380731851a
Man of My Dreams (Sherring Cross (Paperback)),Johanna Lindsey,1992,Avon,http://images.amazon.com/images/P/0380756269.01.MZZZZZZZ.jpg,380756269a
Until Forever,Johanna Lindsey,1995,Avon,http://images.amazon.com/images/P/0380762595.01.MZZZZZZZ.jpg,380762595a
Devil's Angel,Marlene Suson,1994,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380776138.01.MZZZZZZZ.jpg,380776138a
Comanche,Fabio,1995,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380777622.01.MZZZZZZZ.jpg,380777622a
Twilight of Heroes,Ralph Peters,1997,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380788985.01.MZZZZZZZ.jpg,380788985a
I'll Be Wearing a White Carnation,Judi Miller,1985,Avon Books,http://images.amazon.com/images/P/0380895862.01.MZZZZZZZ.jpg,380895862a
Games People Play B186,Eric MD Berne,1969,Vintage Books USA,http://images.amazon.com/images/P/0394171349.01.MZZZZZZZ.jpg,394171349a
"Attaboy, Sam!",Lois Lowry,1992,Walter Lorraine Books,http://images.amazon.com/images/P/0395615887.01.MZZZZZZZ.jpg,395615887a
Blood Orchid (Holly Barker Novels (Hardcover)),Stuart Woods,2002,Putnam Adult,http://images.amazon.com/images/P/0399149295.01.MZZZZZZZ.jpg,399149295a
Tetramachus Collection,Phillippe Van Rjndt,1978,Berkley Pub Group,http://images.amazon.com/images/P/0425035166.01.MZZZZZZZ.jpg,425035166a
The Mountain King,George Ernsberger,1979,Berkley Publishing Group,http://images.amazon.com/images/P/0425042235.01.MZZZZZZZ.jpg,425042235a
Duke of Deception,Geoffrey Wolff,1980,Berkley Publishing Group,http://images.amazon.com/images/P/0425046605.01.MZZZZZZZ.jpg,425046605a
Rogue's March,W. T. Tyler,1983,Berkley Pub Group,http://images.amazon.com/images/P/0425060756.01.MZZZZZZZ.jpg,425060756a
A Shield of Roses,Mary Pershall,1984,Berkley Pub Group,http://images.amazon.com/images/P/0425070204.01.MZZZZZZZ.jpg,425070204a
Auerbach Will,Stephen Birmingham,1984,Penguin Putnam~mass,http://images.amazon.com/images/P/0425071014.01.MZZZZZZZ.jpg,425071014a
Deadly Games,Edward Topol,1985,Berkley Pub Group,http://images.amazon.com/images/P/0425080218.01.MZZZZZZZ.jpg,425080218a
Terminal Justice,Victor Wartofsky,1988,Berkley Pub Group (Mm),http://images.amazon.com/images/P/0425107507.01.MZZZZZZZ.jpg,425107507a
Dance of the Gods,Norma Beishir,1991,Berkley Pub Group,http://images.amazon.com/images/P/0425108392.01.MZZZZZZZ.jpg,425108392a
Perfect Little Angels,Andrew Neiderman,1992,Berkley Pub Group,http://images.amazon.com/images/P/0425117758.01.MZZZZZZZ.jpg,425117758a
Shadow Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425126064.01.MZZZZZZZ.jpg,425126064a
Sky Masters,Dale Brown,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425132625.01.MZZZZZZZ.jpg,425132625a
The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425133540.01.MZZZZZZZ.jpg,425133540a
The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425142485.01.MZZZZZZZ.jpg,425142485a
Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425147363.01.MZZZZZZZ.jpg,425147363a
Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg,042516098Xa
Chromosome 6,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg,425161242a
The Voyageurs (Making of America),Lee D. Willoughby,1983,Dell Publishing Company,http://images.amazon.com/images/P/0440092450.01.MZZZZZZZ.jpg,440092450a
Black Marble,Joseph Wambaugh,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0440106478.01.MZZZZZZZ.jpg,440106478a
A Dark &amp; Distant Shore,Reay Tannahill,1984,Dell Publishing Company,http://images.amazon.com/images/P/0440116961.01.MZZZZZZZ.jpg,440116961a
Incubus,Ray Russell,1981,Bantam Books (Mm),http://images.amazon.com/images/P/044014129X.01.MZZZZZZZ.jpg,044014129Xa
Rhinemann Exchange,Robert Ludlum,1975,Bantam Doubleday Dell,http://images.amazon.com/images/P/0440150795.01.MZZZZZZZ.jpg,440150795a
The Naked Face,Sidney Sheldon,1975,Dell Publishing Company,http://images.amazon.com/images/P/0440159210.01.MZZZZZZZ.jpg,440159210a
Natalie: A Memoir by Her Sister,Lana Wood,1985,Dell Publishing Company,http://images.amazon.com/images/P/0440162688.01.MZZZZZZZ.jpg,440162688a
With a Vengeance,Gerald Di Pego,1978,Dell Publishing,http://images.amazon.com/images/P/0440195179.01.MZZZZZZZ.jpg,440195179a
The Golden Room,Irving Wallace,1989,Dell Publishing Company,http://images.amazon.com/images/P/0440202752.01.MZZZZZZZ.jpg,440202752a
Firefly Summer,Maeve Binchy,1989,Dell,http://images.amazon.com/images/P/0440204194.01.MZZZZZZZ.jpg,440204194a
Black Sunday,Thomas Harris,1991,Dell Publishing Company,http://images.amazon.com/images/P/0440206146.01.MZZZZZZZ.jpg,440206146a
A Time to Kill,JOHN GRISHAM,1992,Dell,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,440211727a
Heartbeat,Danielle Steel,1992,Dell,http://images.amazon.com/images/P/0440211891.01.MZZZZZZZ.jpg,440211891a
The Client,John Grisham,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440213525.01.MZZZZZZZ.jpg,440213525a
The Pelican Brief,John Grisham,1993,Dell,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,440214041a
Smilla's Sense of Snow,Peter Hoeg,1997,Island,http://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg,440218535a
The Horse Whisperer,Nicholas Evans,1996,Dell,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,440222656a
The Ranch,DANIELLE STEEL,1998,Dell,http://images.amazon.com/images/P/0440224780.01.MZZZZZZZ.jpg,440224780a
Fortune's Hand,Belva Plain,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440226414.01.MZZZZZZZ.jpg,440226414a
Monkey Island (American Library Association Notable Book),Paula Fox,1993,Yearling Books,http://images.amazon.com/images/P/0440407702.01.MZZZZZZZ.jpg,440407702a
Great Brain (Yearling),John D. Fitzgerald,1972,Yearling,http://images.amazon.com/images/P/0440430712.01.MZZZZZZZ.jpg,440430712a
Eyes Utopia Murder,Barbara D'Amato,1981,Ace Books,http://images.amazon.com/images/P/0441224164.01.MZZZZZZZ.jpg,441224164a
Seeds of Treason,Ted Allbeury,1988,Warner Books,http://images.amazon.com/images/P/0445407093.01.MZZZZZZZ.jpg,445407093a
For Love of Audrey Rose,Frank De Felitta,1982,Warner Books,http://images.amazon.com/images/P/0446302066.01.MZZZZZZZ.jpg,446302066a
Before the Dawn,Lisa Gregory,1987,Warner Books,http://images.amazon.com/images/P/0446341096.01.MZZZZZZZ.jpg,446341096a
Presumed Innocent,Scott Turow,1989,Warner Books,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg,446359866a
Air Battle Central Europe,Alfred Price,1990,Warner Books,http://images.amazon.com/images/P/0446360473.01.MZZZZZZZ.jpg,446360473a
Lights Out,Peter Abrahams,1995,Mysterious Press,http://images.amazon.com/images/P/0446401579.01.MZZZZZZZ.jpg,446401579a
2nd Chance,James Patterson,2003,Warner Vision,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,446612790a
Sybil.,Flora Rheta. Schreiber,1973,McGraw-Hill,http://images.amazon.com/images/P/0446794031.01.MZZZZZZZ.jpg,446794031a
Adventures of Buster Bear,T. W. Burgess,1950,Price Stern Sloan Pub,http://images.amazon.com/images/P/0448027011.01.MZZZZZZZ.jpg,448027011a
Proud Surrender,Diana Haviland,1983,Fawcett Books,http://images.amazon.com/images/P/0449124061.01.MZZZZZZZ.jpg,449124061a
Terror for Sale,Dan Streib,1984,Fawcett Books,http://images.amazon.com/images/P/0449124428.01.MZZZZZZZ.jpg,449124428a
Carrion,Gary Brandner,1986,Fawcett Books,http://images.amazon.com/images/P/0449129500.01.MZZZZZZZ.jpg,449129500a
Green Ripper,John D Macdonald,1981,Ballantine Books,http://images.amazon.com/images/P/0449143457.01.MZZZZZZZ.jpg,449143457a
Power of Positive Thinking,Norman V Peale,1982,Ballantine Books,http://images.amazon.com/images/P/0449200256.01.MZZZZZZZ.jpg,449200256a
The Wheel of Fortune,Susan Howatch,1990,Fawcett Books,http://images.amazon.com/images/P/0449206246.01.MZZZZZZZ.jpg,449206246a
Alaska,James A. Michener,1994,Fawcett Books,http://images.amazon.com/images/P/0449217264.01.MZZZZZZZ.jpg,449217264a
Angel Eyes,Eric Lustbader,1993,Fawcett Books,http://images.amazon.com/images/P/044921852X.01.MZZZZZZZ.jpg,044921852Xa
Mexico,James A. Michener,1994,Fawcett Books,http://images.amazon.com/images/P/0449221873.01.MZZZZZZZ.jpg,449221873a
Donahue My Own Story,Phil Donahue,1980,Fawcett Books,http://images.amazon.com/images/P/0449243583.01.MZZZZZZZ.jpg,449243583a
Hidden Target -4,MacInnes,1982,Not Avail,http://images.amazon.com/images/P/0449244431.01.MZZZZZZZ.jpg,449244431a
Night shift,Stephen King,1979,New American Library,http://images.amazon.com/images/P/0451085108.01.MZZZZZZZ.jpg,451085108a
The Phantom Conspiracy,Michael Barak,1981,New American Library,http://images.amazon.com/images/P/0451110145.01.MZZZZZZZ.jpg,451110145a
Sisters,Lynne Cheney,1981,New American Library,http://images.amazon.com/images/P/0451112040.01.MZZZZZZZ.jpg,451112040a
Goldeneye,Malcolm MacDonald,1982,New American Library,http://images.amazon.com/images/P/0451115465.01.MZZZZZZZ.jpg,451115465a
Fall Back,Peter Niesewand,1983,New American Library,http://images.amazon.com/images/P/0451120531.01.MZZZZZZZ.jpg,451120531a
The Corsican,William Heffernan,1987,Dutton Books,http://images.amazon.com/images/P/0451130995.01.MZZZZZZZ.jpg,451130995a
On Wings of Eagles,Ken Follett,1984,New Amer Library,http://images.amazon.com/images/P/0451131517.01.MZZZZZZZ.jpg,451131517a
Pet Sematary,Stephen King,1984,Signet Book,http://images.amazon.com/images/P/0451132378.01.MZZZZZZZ.jpg,451132378a
River of Dreams,Gay Courter,1985,Signet Book,http://images.amazon.com/images/P/0451135105.01.MZZZZZZZ.jpg,451135105a
Koko,Peter Straub,1995,Signet Book,http://images.amazon.com/images/P/0451162145.01.MZZZZZZZ.jpg,451162145a
Four Past Midnight,Stephen King,2001,Signet Book,http://images.amazon.com/images/P/0451170385.01.MZZZZZZZ.jpg,451170385a
Second Sight: A Paul Christopher Novel,Charles McCarry,1992,New Amer Library,http://images.amazon.com/images/P/0451172515.01.MZZZZZZZ.jpg,451172515a
Her Father's Daughter,William J. Coughlin,1993,New Amer Library,http://images.amazon.com/images/P/0451400372.01.MZZZZZZZ.jpg,451400372a
Body Mortgage,Richard Engling,1989,New Amer Library (Mm),http://images.amazon.com/images/P/0451401190.01.MZZZZZZZ.jpg,451401190a
"Long, Lean, and Lethal",Heather Graham,2000,New American Library,http://images.amazon.com/images/P/0451409159.01.MZZZZZZZ.jpg,451409159a
Three Past Midnight (Penguin Audiobooks),Stephen King,1991,Highbridge Audio,http://images.amazon.com/images/P/0453007481.01.MZZZZZZZ.jpg,453007481a
Nightmares &amp; Dreamscapes (Vol 1),Stephen King,1993,HighBridge Audio,http://images.amazon.com/images/P/0453008445.01.MZZZZZZZ.jpg,453008445a
Nightmares &amp; Dreamscapes (Vol 2),Stephen King,1994,Highbridge Audio,http://images.amazon.com/images/P/0453008739.01.MZZZZZZZ.jpg,453008739a
The Aviators (Brotherhood of War),W. E. B. Griffin,1989,Jove Books,http://images.amazon.com/images/P/0515100536.01.MZZZZZZZ.jpg,515100536a
"Frontier Justice (The Gunsmith, No 114)",J.R. Roberts,1991,Jove Books,http://images.amazon.com/images/P/0515105996.01.MZZZZZZZ.jpg,515105996a
Forgiving,LaVyrle Spencer,1996,Jove Books,http://images.amazon.com/images/P/0515108030.01.MZZZZZZZ.jpg,515108030a
From the Heart: Tonight and Always/A Matter of Choice/Endings and Beginnings,Nora Roberts,1996,Jove Books,http://images.amazon.com/images/P/0515119652.01.MZZZZZZZ.jpg,515119652a
Queensgate Reckoning,Lewis Perdue,1982,Pinnacle Books,http://images.amazon.com/images/P/0523414366.01.MZZZZZZZ.jpg,523414366a
The Cancer Conspiracy,Et Al Netterberg,1981,Pinnacle Books,http://images.amazon.com/images/P/0523414668.01.MZZZZZZZ.jpg,523414668a
Dark Deeds,Ken Welsh,1984,Pinnacle Books,http://images.amazon.com/images/P/0523421788.01.MZZZZZZZ.jpg,523421788a
,,,,,552115339a
Eagle Has Landed,Jack Higgins,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553025007.01.MZZZZZZZ.jpg,553025007a
The Haigerloch Project,Ib Melchior,1978,Bantam Books,http://images.amazon.com/images/P/0553113313.01.MZZZZZZZ.jpg,553113313a
Independence,Dana Fuller Ross,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553121456.01.MZZZZZZZ.jpg,553121456a
The Evil That Men Do,R Lance Hill,1984,Bantam Books,http://images.amazon.com/images/P/0553128973.01.MZZZZZZZ.jpg,553128973a
False Flags,Noel Hynd,1980,Bantam Books,http://images.amazon.com/images/P/0553131966.01.MZZZZZZZ.jpg,553131966a
,,,,,553206621a
Bourne Identity,Robert Ludlum,1982,Bantam Books,http://images.amazon.com/images/P/0553228129.01.MZZZZZZZ.jpg,553228129a
Jenetta,Audrey Ellis,1984,Bantam Books,http://images.amazon.com/images/P/0553230565.01.MZZZZZZZ.jpg,553230565a
Day of the Jackal,Frederick Forsyth,1981,Bantam Books,http://images.amazon.com/images/P/0553235354.01.MZZZZZZZ.jpg,553235354a
The Seeding,David Shobin,1985,Bantam Books,http://images.amazon.com/images/P/055323577X.01.MZZZZZZZ.jpg,055323577Xa
I'll Take Manhattan,Judith Krantz,1987,Bantam Books,http://images.amazon.com/images/P/0553264079.01.MZZZZZZZ.jpg,553264079a
In the Ocean of Night,Gregory Benford,1987,Spectra Books,http://images.amazon.com/images/P/0553265784.01.MZZZZZZZ.jpg,553265784a
The Comic Book Killer,Richard A. Lupoff,1988,Offspring Press,http://images.amazon.com/images/P/0553277812.01.MZZZZZZZ.jpg,553277812a
Darkness,John Saul,1992,Bantam Books,http://images.amazon.com/images/P/0553297260.01.MZZZZZZZ.jpg,553297260a
In Daddy's Arms (Only Daddy),Marcia Evanick,1993,Loveswept,http://images.amazon.com/images/P/0553443275.01.MZZZZZZZ.jpg,553443275a
Self-Defense,Jonathan Kellerman,1995,Random House Audio,http://images.amazon.com/images/P/0553473441.01.MZZZZZZZ.jpg,553473441a
Fat Tuesday,Sandra Brown,1997,Random House Audio,http://images.amazon.com/images/P/0553478257.01.MZZZZZZZ.jpg,553478257a
Homicide: A Year on the Killing Streets (NBC TV Series),David Simon,1997,Random House,http://images.amazon.com/images/P/0553478346.01.MZZZZZZZ.jpg,553478346a
"Breaking Away (Sweet Valley University, No 37)",Laurie John,1998,Sweet Valley,http://images.amazon.com/images/P/0553492217.01.MZZZZZZZ.jpg,553492217a
"The Danielle Steel Value Collection: Fine Things, Jewels, Vanished",Richard Thomas,1999,Random House Audio Publishing Group,http://images.amazon.com/images/P/0553526308.01.MZZZZZZZ.jpg,553526308a
Pronto,Elmore Leonard,2000,Random House Audio Publishing Group,http://images.amazon.com/images/P/0553527061.01.MZZZZZZZ.jpg,553527061a
Treasure Hunt,Jay Leibold,1995,Bantam Doubleday Dell Publishing Group,http://images.amazon.com/images/P/0553542109.01.MZZZZZZZ.jpg,553542109a
Fear Nothing,DEAN KOONTZ,1998,Bantam,http://images.amazon.com/images/P/0553579754.01.MZZZZZZZ.jpg,553579754a
The Russia House,John Lecarre,2001,Random House Audio Publishing Group,http://images.amazon.com/images/P/0553702351.01.MZZZZZZZ.jpg,553702351a
Alvin's Secret Code,Clifford B. Hicks,1969,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590085042.01.MZZZZZZZ.jpg,590085042a
"You're Not Elected, Charlie Brown",Charles M. Schulz,1974,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590088203.01.MZZZZZZZ.jpg,590088203a
"Sunny (California Diaries, 2)",Ann M. Martin,1997,Scholastic,http://images.amazon.com/images/P/0590298364.01.MZZZZZZZ.jpg,590298364a
Hideaway,Beverly H. Renner,1980,Scholastic,http://images.amazon.com/images/P/0590313088.01.MZZZZZZZ.jpg,590313088a
Darci and the Dance Contest,Martha Tolles,1987,Scholastic Paperbacks,http://images.amazon.com/images/P/0590338242.01.MZZZZZZZ.jpg,590338242a
"Bride of the Living Dummy (Goosebumps Series 2000, No 2)",R. L. Stine,1998,Scholastic,http://images.amazon.com/images/P/059039990X.01.MZZZZZZZ.jpg,059039990Xa
Jessi's secret language (The Baby-sitters Club),Ann M Martin,1988,Scholastic Inc,http://images.amazon.com/images/P/0590415867.01.MZZZZZZZ.jpg,590415867a
"Jessi Ramsey, Pet Sitter (Baby-Sitters Club (Paperback))",Ann M. Martin,1989,Scholastic Paperbacks,http://images.amazon.com/images/P/0590420062.01.MZZZZZZZ.jpg,590420062a
"Jessi and the Jewel Thieves (Baby-Sitters Club Mystery, 8)",Ann M. Martin,1996,Scholastic,http://images.amazon.com/images/P/0590449591.01.MZZZZZZZ.jpg,590449591a
"Welcome to Dead House (Goosebumps, No 1)",R. L. Stine,1995,Scholastic,http://images.amazon.com/images/P/0590453653.01.MZZZZZZZ.jpg,590453653a
"Keep Out, Claudia! (Baby-Sitters Club, 56)",Ann M. Martin,1993,Scholastic,http://images.amazon.com/images/P/0590456571.01.MZZZZZZZ.jpg,590456571a
Freeze Tag (Point),Caroline B. Cooney,1995,Scholastic Paperbacks,http://images.amazon.com/images/P/0590456814.01.MZZZZZZZ.jpg,590456814a
"Welcome to Camp Nightmare (Goosebumps, No 9)",R. L. Stine,1995,Scholastic,http://images.amazon.com/images/P/0590466194.01.MZZZZZZZ.jpg,590466194a
Journey to America,Sonia Levitin,1999,Scholastic Inc.,http://images.amazon.com/images/P/059046728X.01.MZZZZZZZ.jpg,059046728Xa
"Karen's Campout (Baby-Sitters Little Sister Super Special, 6)",Ann M. Martin,1993,Scholastic,http://images.amazon.com/images/P/0590469118.01.MZZZZZZZ.jpg,590469118a
"Stacey's Lie (Baby-Sitters Club, 76)",Ann M. Martin,1994,Scholastic,http://images.amazon.com/images/P/0590470140.01.MZZZZZZZ.jpg,590470140a
"Karen's School Mystery (Baby-Sitters Little Sister, 57)",Ann M. Martin,1995,Scholastic,http://images.amazon.com/images/P/059048303X.01.MZZZZZZZ.jpg,059048303Xa
"Night of the Living Dummy III (Goosebumps, No 40)",R. L. Stine,1996,Scholastic,http://images.amazon.com/images/P/0590568779.01.MZZZZZZZ.jpg,590568779a
"The Beast from the East (Goosebumps, No 43)",R. L. Stine,1996,Scholastic,http://images.amazon.com/images/P/0590568809.01.MZZZZZZZ.jpg,590568809a
"How I Learned to Fly (Goosebumps, No 52)",R. L. Stine,1997,Apple,http://images.amazon.com/images/P/0590568892.01.MZZZZZZZ.jpg,590568892a
"The Curse of Camp Cold Lake (Goosebumps, No 56)",R. L. Stine,1997,Scholastic,http://images.amazon.com/images/P/0590568930.01.MZZZZZZZ.jpg,590568930a
Ralph S. Mouse,Beverly Cleary,2000,Scholastic,http://images.amazon.com/images/P/0590687301.01.MZZZZZZZ.jpg,590687301a
HOW TO BE A VAMPIRE: R L STINES GHOSTS OF FEAR STREET #13,R.L. Stine,1996,Aladdin,http://images.amazon.com/images/P/067100185X.01.MZZZZZZZ.jpg,067100185Xa
BODY SWITCHERS FROM OUTER SPACE: R L STINE'S GHOSTS OF FEAR STREET #14 (GHOSTS OF FEAR STREET),R.L. Stine,1996,Aladdin,http://images.amazon.com/images/P/0671001868.01.MZZZZZZZ.jpg,671001868a
We'll Meet Again,Mary Higgins Clark,2000,Pocket,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,671004565a
Mercy,Julie Garwood,2002,Pocket,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg,671034022a
Until You,Judith McNaught,1999,Simon &amp; Schuster Audio,http://images.amazon.com/images/P/0671046349.01.MZZZZZZZ.jpg,671046349a
Sharp Edges,Jayne Ann Krentz,1999,Simon &amp; Schuster Audio,http://images.amazon.com/images/P/0671046888.01.MZZZZZZZ.jpg,671046888a
SPELLBINDER,Robbins,1983,Pocket,http://images.amazon.com/images/P/0671416367.01.MZZZZZZZ.jpg,671416367a
KITTY,Lena Kennedy,1981,Pocket,http://images.amazon.com/images/P/0671425587.01.MZZZZZZZ.jpg,671425587a
CRIMSON INTRIGUE,Devon Lindsay,1981,Simon &amp; Schuster,http://images.amazon.com/images/P/0671439227.01.MZZZZZZZ.jpg,671439227a
FORBIDDEN LOVE,Maura Seger,1983,Pocket,http://images.amazon.com/images/P/0671469703.01.MZZZZZZZ.jpg,671469703a
JEDDERS LAND,Maureen O'Donoghue,1984,Pocket,http://images.amazon.com/images/P/0671509144.01.MZZZZZZZ.jpg,671509144a
NEWTISMS: THE WIT AND WISDOM OF NEWT GINGRICH : THE WIT AND WISDOM OF NEWT GINGRICH,Geoff Rodkey,1995,Pocket,http://images.amazon.com/images/P/0671535331.01.MZZZZZZZ.jpg,671535331a
The Secret Path (SPOOKSVILLE),Christopher Pike,1995,Aladdin,http://images.amazon.com/images/P/0671537253.01.MZZZZZZZ.jpg,671537253a
7 MINUTES,Author Unknown,1976,Pocket,http://images.amazon.com/images/P/0671811223.01.MZZZZZZZ.jpg,671811223a
Dreams Die First,Harold Robbins,1978,Pocket Books,http://images.amazon.com/images/P/0671823035.01.MZZZZZZZ.jpg,671823035a
,,,,,671825291a
MOONKISSED,Barbara Faith,1980,Simon &amp; Schuster,http://images.amazon.com/images/P/0671833316.01.MZZZZZZZ.jpg,671833316a
FROM POTTER'S FIELD,Patricia Cornwell,1995,Simon &amp; Schuster Audio,http://images.amazon.com/images/P/0671868810.01.MZZZZZZZ.jpg,671868810a
"Memnoch, the Devil (Vampire Chronicles)",ANNE RICE,1995,Random House Audio,http://images.amazon.com/images/P/0679438327.01.MZZZZZZZ.jpg,679438327a
Eyes of a Child: A Novel,Richard North Patterson,1994,Random House Trade,http://images.amazon.com/images/P/0679439528.01.MZZZZZZZ.jpg,679439528a
Tom Clancy's Op Center (Tom Clancy's Op Center (Audio)),Tom Clancy,1995,Random House Trade,http://images.amazon.com/images/P/0679442944.01.MZZZZZZZ.jpg,679442944a
Unnatural Exposure : A Novel,PATRICIA CORNWELL,1997,Random House Audio,http://images.amazon.com/images/P/0679445099.01.MZZZZZZZ.jpg,679445099a
A Reporter's Life,Walter Cronkite,1997,Random House Audio,http://images.amazon.com/images/P/067945814X.01.MZZZZZZZ.jpg,067945814Xa
The Velvet Room,Zilpha Keatley Snyder,1977,Marcel Dekker,http://images.amazon.com/images/P/0689704305.01.MZZZZZZZ.jpg,689704305a
Just As I Am,Billy Graham,1997,HarperAudio,http://images.amazon.com/images/P/069451747X.01.MZZZZZZZ.jpg,069451747Xa
Shadows of the Heart: Shadows of the Heart,Alexa Smart,1995,Pinnacle Books,http://images.amazon.com/images/P/0786001836.01.MZZZZZZZ.jpg,786001836a
"Mrs. Coverlet's Magicians (Lost Treasures, 2)",Mary Nash,2001,Volo Paperbacks,http://images.amazon.com/images/P/0786815183.01.MZZZZZZZ.jpg,786815183a
"Lost Treasures: The Rich and Famous - Book #6 (Lost Treasures, No 1.)",JAMES LINCOLN COLLIER,2001,Volo,http://images.amazon.com/images/P/0786815191.01.MZZZZZZZ.jpg,786815191a
Blood on the Lotus,Lawrence C. Vetter,1990,Ballantine Books,http://images.amazon.com/images/P/0804106142.01.MZZZZZZZ.jpg,804106142a
Kahawa,Donald E. Westlake,1984,Tor Books (Mm),http://images.amazon.com/images/P/081251050X.01.MZZZZZZZ.jpg,081251050Xa
Song of Wovoka: A Novel,Earl Murray,1993,Tor Books,http://images.amazon.com/images/P/0812513185.01.MZZZZZZZ.jpg,812513185a
The Burning,Graham Masterton,1992,Tor Books (Mm),http://images.amazon.com/images/P/0812522079.01.MZZZZZZZ.jpg,812522079a
Relic,Douglas Preston,2003,Tor Books,http://images.amazon.com/images/P/0812543262.01.MZZZZZZZ.jpg,812543262a
The Worm in the Rose,Tom Stacey,1985,Natl Book Network,http://images.amazon.com/images/P/0812830490.01.MZZZZZZZ.jpg,812830490a
,,,,,821710176a
Rebel Temptress,Constance O'Banyon,1983,Zebra Books,http://images.amazon.com/images/P/0821712152.01.MZZZZZZZ.jpg,821712152a
"Torturers of Tet (Saigon Commandos, No 10)",Jonathan Cain,1986,Kensington Books,http://images.amazon.com/images/P/0821717723.01.MZZZZZZZ.jpg,821717723a
Moonwalker,Rick Hautala,1989,Zebra Books,http://images.amazon.com/images/P/082172598X.01.MZZZZZZZ.jpg,082172598Xa
Freeze Frame,Marjorie Dorner,1992,Zebra Books,http://images.amazon.com/images/P/082173766X.01.MZZZZZZZ.jpg,082173766Xa
Traitor's Kiss,Jane Toombs,1992,Kensington Books,http://images.amazon.com/images/P/0821738488.01.MZZZZZZZ.jpg,821738488a
Wild Hearts,Garda Parker,1997,Zebra Books,http://images.amazon.com/images/P/0821756451.01.MZZZZZZZ.jpg,821756451a
Peanut Butter Hamster and Other Animal Tails (Winner Book),Grace Fox Anderson,1979,Scripture Pr Pubns,http://images.amazon.com/images/P/0882074849.01.MZZZZZZZ.jpg,882074849a
"Deathlands: Keepers of the Sun (Keepers of the Sun, 31)",James Axler,1999,DH Audio,http://images.amazon.com/images/P/1552044653.01.MZZZZZZZ.jpg,1552044653a
Heart Strings (Homespun),Lydia Browne,1993,Berkley Pub Group (Mm),http://images.amazon.com/images/P/1557739412.01.MZZZZZZZ.jpg,1557739412a
Beyond Recognition (Nova Audio Books),Ridley Pearson,1997,Paperback Nova Audio,http://images.amazon.com/images/P/1567402283.01.MZZZZZZZ.jpg,1567402283a
Nobody's Safe,Ricahrd Steinberg,2000,Paperback Nova Audio,http://images.amazon.com/images/P/1567403387.01.MZZZZZZZ.jpg,1567403387a
